id,domain,category,question,answer,instruction,input,output,source_document,keyword,created_date
0001,일반,knowledge,plan.md — 실행 계획서에 대해 설명하라.,plan.md — 실행 계획서,도메인 전문가 관점에서 다음 내용을 설명하라.,plan.md — 실행 계획서,plan.md — 실행 계획서,plan.md,"검증, py, test",2026-06-22
0002,일반,knowledge,> 근거: `docs/goal.md`.에 대해 설명하라.,> 근거: `docs/goal.md`.,도메인 전문가 관점에서 다음 내용을 설명하라.,> 근거: `docs/goal.md`.,> 근거: `docs/goal.md`.,plan.md,"검증, py, test",2026-06-22
0003,일반,knowledge,"각 단계는 **활동 → 검증** 형식이며, 검증 미달 에 대해 설명하라.","각 단계는 **활동 → 검증** 형식이며, 검증 미달 시 직전 단계로 회귀한다.",도메인 전문가 관점에서 다음 내용을 설명하라.,"각 단계는 **활동 → 검증** 형식이며, 검증 미달 시 직전 단계로 회","각 단계는 **활동 → 검증** 형식이며, 검증 미달 시 직전 단계로 회귀한다.",plan.md,"검증, py, test",2026-06-22
0004,일반,knowledge,아키텍처 (PoC)에 대해 설명하라.,아키텍처 (PoC),도메인 전문가 관점에서 다음 내용을 설명하라.,아키텍처 (PoC),아키텍처 (PoC),plan.md,"검증, py, test",2026-06-22
0005,일반,knowledge,rag_poc/에 대해 설명하라.,rag_poc/,도메인 전문가 관점에서 다음 내용을 설명하라.,rag_poc/,rag_poc/,plan.md,"검증, py, test",2026-06-22
0006,일반,knowledge,models.py        # 도메인 모델: Doc에 대해 설명하라.,"models.py        # 도메인 모델: Document, Chunk, User, SecurityLevel, RetrievedChunk",도메인 전문가 관점에서 다음 내용을 설명하라.,"models.py        # 도메인 모델: Document, Chu","models.py        # 도메인 모델: Document, Chunk, User, SecurityLevel, RetrievedChunk",plan.md,"검증, py, test",2026-06-22
0007,일반,knowledge,deidentify.py    # 비식별화(주민번호/전에 대해 설명하라.,deidentify.py    # 비식별화(주민번호/전화/이메일 마스킹),도메인 전문가 관점에서 다음 내용을 설명하라.,deidentify.py    # 비식별화(주민번호/전화/이메일 마스킹),deidentify.py    # 비식별화(주민번호/전화/이메일 마스킹),plan.md,"검증, py, test",2026-06-22
0008,일반,knowledge,ingest.py        # 문서 처리 파이프라인에 대해 설명하라.,ingest.py        # 문서 처리 파이프라인: 파싱→비식별화→청킹→메타태깅,도메인 전문가 관점에서 다음 내용을 설명하라.,ingest.py        # 문서 처리 파이프라인: 파싱→비식별화→,ingest.py        # 문서 처리 파이프라인: 파싱→비식별화→청킹→메타태깅,plan.md,"검증, py, test",2026-06-22
0009,일반,knowledge,embedding.py     # 교체형 임베딩(기본:에 대해 설명하라.,"embedding.py     # 교체형 임베딩(기본: 해시기반 결정적 임베더, 옵션: sentence-transformers)",도메인 전문가 관점에서 다음 내용을 설명하라.,embedding.py     # 교체형 임베딩(기본: 해시기반 결정적 ,"embedding.py     # 교체형 임베딩(기본: 해시기반 결정적 임베더, 옵션: sentence-transformers)",plan.md,"검증, py, test",2026-06-22
0010,일반,knowledge,vectorstore.py   # 임베디드 벡터 저장소에 대해 설명하라.,vectorstore.py   # 임베디드 벡터 저장소(코사인) + 메타데이터 권한필터,도메인 전문가 관점에서 다음 내용을 설명하라.,vectorstore.py   # 임베디드 벡터 저장소(코사인) + 메타,vectorstore.py   # 임베디드 벡터 저장소(코사인) + 메타데이터 권한필터,plan.md,"검증, py, test",2026-06-22
0011,일반,knowledge,bm25.py          # BM25 희소 검색에 대해 설명하라.,bm25.py          # BM25 희소 검색,도메인 전문가 관점에서 다음 내용을 설명하라.,bm25.py          # BM25 희소 검색,bm25.py          # BM25 희소 검색,plan.md,"검증, py, test",2026-06-22
0012,일반,knowledge,retriever.py     # 하이브리드 검색 + 에 대해 설명하라.,retriever.py     # 하이브리드 검색 + 권한필터① + 리랭킹(Top-N),도메인 전문가 관점에서 다음 내용을 설명하라.,retriever.py     # 하이브리드 검색 + 권한필터① + 리랭,retriever.py     # 하이브리드 검색 + 권한필터① + 리랭킹(Top-N),plan.md,"검증, py, test",2026-06-22
0013,일반,knowledge,llm.py           # 교체형 LLM 인터페에 대해 설명하라.,llm.py           # 교체형 LLM 인터페이스 + MockLLM(인용 기반 추출 답변),도메인 전문가 관점에서 다음 내용을 설명하라.,llm.py           # 교체형 LLM 인터페이스 + MockL,llm.py           # 교체형 LLM 인터페이스 + MockLLM(인용 기반 추출 답변),plan.md,"검증, py, test",2026-06-22
0014,일반,knowledge,orchestrator.py  # RAG 파이프라인 +에 대해 설명하라.,orchestrator.py  # RAG 파이프라인 + 권한 후처리② + 인용 + 근거부족 억제,도메인 전문가 관점에서 다음 내용을 설명하라.,orchestrator.py  # RAG 파이프라인 + 권한 후처리② +,orchestrator.py  # RAG 파이프라인 + 권한 후처리② + 인용 + 근거부족 억제,plan.md,"검증, py, test",2026-06-22
0015,일반,knowledge,api.py           # FastAPI 엔드포에 대해 설명하라.,"api.py           # FastAPI 엔드포인트(/ingest, /query)",도메인 전문가 관점에서 다음 내용을 설명하라.,api.py           # FastAPI 엔드포인트(/ingest,"api.py           # FastAPI 엔드포인트(/ingest, /query)",plan.md,"검증, py, test",2026-06-22
0016,일반,knowledge,golden/          # 골든셋(문서 + 질의에 대해 설명하라.,golden/          # 골든셋(문서 + 질의/정답),도메인 전문가 관점에서 다음 내용을 설명하라.,golden/          # 골든셋(문서 + 질의/정답),golden/          # 골든셋(문서 + 질의/정답),plan.md,"검증, py, test",2026-06-22
